"13,5,""Specifically, the fund invests at least 70% of total assets in shares and related securities issued by companies that are either incorporated in one of the economically emerging countries of Latin America, Asia, Europe, Africa and the Middle East or conduct most of their business in such countries. Types of securities may include common stocks, preferred stocks, warrants, American Depository Receipts (ADRs), European Depository Receipts (EDRs) and Global Depository Receipts (GDRs)."",1.0,labelled\consorsbank_t_rowe_price_funds,10";;;;;;;;;;;
14,6,The fund does not invest more than 30% of its assets in debt and money market securities.,1.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
15,7,DERIVATIVES AND TECHNIQUES The fund may use derivatives for hedging and efficient portfolio management.,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
"16,8,""At any time and for a length of time that the investment manager considers appropriate, the fund may hold up to (but not including) 50% of its assets in cash or other liquid assets. This might occur in circumstances of extremely adverse market conditions and/or upon receipt of significant subscriptions by the fund."",1.0,labelled\consorsbank_t_rowe_price_funds,10";;;;;;;;;;;
17,9,INVESTMENT PROCESS The investment manager's approach is to:,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
18,10,Q Employ fundamental analysis to identify companies with sustainable above-market earnings growth rates.,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
"19,11,""Q Focus on franchise strength, management team quality, free cash flow, and financing/balance sheet structure."",0.0,labelled\consorsbank_t_rowe_price_funds,10";;;;;;;;;;;
20,12,Q Verify relative valuation appeal versus both the local market and broad sector opportunity set.,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
21,13,Q Apply negative screening for macroeconomic and political factors to temper bottom-up enthusiasm for specific securities.,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
"22,14,""Q Assess environmental, social and governance (""""ESG"""") factors to identify those considered most likely to have a material impact on the performance of the holdings or potential holdings in the fund's portfolio. These ESG factors, which are incorporated into the investment process alongside financials, valuation, macro- economics and other factors, are components of the investment"",0.0,labelled\consorsbank_t_rowe_price_funds,10";;;;;;;;;;;
"23,15,""decision. Consequently, ESG factors are not the sole driver of an investment decision but are instead one of several important inputs considered during investment analysis."",0.0,labelled\consorsbank_t_rowe_price_funds,10";;;;;;;;;;;
24,16,BENCHMARK Benchmark  MSCI Emerging Markets Index Net.,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
25,17,Benchmark use  Investors may use the benchmark to compare the fund's performance. The benchmark has been selected because it is similar to the investment universe used by the investment manager and therefore acts as an appropriate comparator.,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
"26,18,""The investment manager is not constrained by any country, sector and/ or individual security weightings relative to the benchmark and has complete freedom to invest in securities that do not form part of the benchmark."",0.0,labelled\consorsbank_t_rowe_price_funds,10";;;;;;;;;;;
"27,19,""When a share class is hedged to a different currency, a hedged version of the benchmark (where available) will be used by the ACD for the performance comparison."",0.0,labelled\consorsbank_t_rowe_price_funds,10";;;;;;;;;;;
28,20,Base currency of the fund  GBP,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
29,21,INVESTMENT MANAGER T. Rowe Price International Ltd,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
30,22,SUB-INVESTMENT MANAGER T. Rowe Price Singapore Private Ltd,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
31,23,Designed for  Investors who typically plan to invest for five years or more.,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
32,24,The fund may appeal to investors who:,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
33,25,Q are interested in investment growth,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
"34,26,""Q are looking to diversify their equity investments, in particular existing investments in developed markets"",0.0,labelled\consorsbank_t_rowe_price_funds,10";;;;;;;;;;;
"35,27,""Q understand and can accept the risks of the fund, including the risks of investing in emerging markets"",0.0,labelled\consorsbank_t_rowe_price_funds,10";;;;;;;;;;;
36,28,Main Risks,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
"37,29,""See """"Risk Descriptions"""" for more information."",0.0,labelled\consorsbank_t_rowe_price_funds,10";;;;;;;;;;;
38,30,Q  Country risk - China,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
39,31,Q  Country risk - Russia and Ukraine,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
40,32,Q  Country risk - Saudi Arabia,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
41,33,Q  Currency,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
42,34,Q  Emerging markets,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
43,35,Q  Equities,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
44,36,Q  Geographic concentration,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
45,37,Q  Hedging,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
46,38,Q  Investment fund,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
47,39,Q  Management,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
48,40,Q  Market,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
49,41,Q  Operational,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
50,42,Q  Small/mid cap,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
51,43,Q  Style,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
52,44,Risk management method  Commitment.,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
53,45,Expected level of leverage  N/A.,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
54,46,Minimum transaction and balance amounts,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
55,47,Class ACD Fee,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
56,48,Operating and Administrative expenses limit Initial investment/balance Additional investment Redemption,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
"57,49,""C 0.75% Up to 0.17% GBP10,000 GBP500 GBP500"",0.0,labelled\consorsbank_t_rowe_price_funds,10";;;;;;;;;;;
58,50,T 0.00% Up to 0.17% GBP7.5 million - -,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
59,51,Z 0.00% 0.00% GBP20 million - -,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
60,52,This fund has not launched at the publication date of this prospectus.,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
61,53,Initial Offer Period: [TBC] 2022,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
62,54,T. Rowe Price Funds OEIC - Emerging Markets Equity Fund,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
63,0,12,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
64,1,INVEST WITH CONFIDENCE,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
65,2,Objective and Investment Policy,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
66,3,OBJECTIVE To increase the value of its shares through growth in the value of its investments.,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
67,4,PORTFOLIO SECURITIES The fund is actively managed and invests mainly in a diversified portfolio of shares of frontier markets companies.,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
"68,5,""Specifically, the fund invests at least 70% of net assets in shares and related securities of companies that are either incorporated in, or conduct most of their business in, countries that form part of the MSCI Frontier Emerging Markets Index or any other countries that are not represented in the MSCI AC World Index. Types of securities may include common stocks, preferred stocks, warrants, American Depository Receipts (ADRs), European Depository Receipts (EDRs) and Global Depository Receipts (GDRs)."",1.0,labelled\consorsbank_t_rowe_price_funds,11";;;;;;;;;;;
69,6,The fund may invest up to 30% of its assets in debt and money market securities.,1.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
70,7,DERIVATIVES AND TECHNIQUES The fund may use derivatives for hedging and efficient portfolio management.,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
"71,8,""At any time and for a length of time that the investment manager considers appropriate, the fund may hold up to (but not including) 50% of its assets in cash or other liquid assets. This might occur in circumstances of extremely adverse market conditions and/or upon receipt of significant subscriptions by the fund."",1.0,labelled\consorsbank_t_rowe_price_funds,11";;;;;;;;;;;
72,9,INVESTMENT PROCESS The investment manager's approach is to:,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
"73,10,""Q Invest across the entire frontier investment universe, including countries outside the MSCI Frontier Markets Index."",0.0,labelled\consorsbank_t_rowe_price_funds,11";;;;;;;;;;;
"74,11,""Q Employ a rigorous, risk-aware approach to identify quality growing companies trading at attractive valuations."",0.0,labelled\consorsbank_t_rowe_price_funds,11";;;;;;;;;;;
"75,12,""Q Employ fundamental analysis with a focus on returns, balance sheet structure, management team and corporate governance."",0.0,labelled\consorsbank_t_rowe_price_funds,11";;;;;;;;;;;
76,13,Q Apply a disciplined approach to valuation. Verify relative valuation appeal versus peers and history.,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
77,14,Q Consider macroeconomic and political factors to temper bottom-up enthusiasm.,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
"78,15,""Q Assess environmental, social and governance (""""ESG"""") factors to identify those considered most likely to have a material impact on the performance of the holdings or potential holdings in the fund's portfolio. These ESG factors, which are incorporated into the investment process alongside financials, valuation, macro- economics and other factors, are components of the investment decision. Consequently, ESG factors are not the sole driver of an investment decision but are instead one of several important inputs considered during investment analysis."",0.0,labelled\consorsbank_t_rowe_price_funds,11";;;;;;;;;;;
79,16,BENCHMARK Benchmark  MSCI Frontier Markets Index Net.,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
80,17,Benchmark use  Investors may use the benchmark to compare the fund's performance. The benchmark has been selected because it is similar to the investment universe used by the investment manager and therefore acts as an appropriate comparator.,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
"81,18,""The investment manager is not constrained by any country, sector and/ or individual security weightings relative to the benchmark and has complete freedom to invest in securities that do not form part of the benchmark."",0.0,labelled\consorsbank_t_rowe_price_funds,11";;;;;;;;;;;
"82,19,""The fund uses the MSCI Frontier Emerging Markets Index and the MSCI AC World Index to help determine the countries in which investments will be made, but these indices are not used as a constraint on portfolio construction."",0.0,labelled\consorsbank_t_rowe_price_funds,11";;;;;;;;;;;
"83,20,""When a share class is hedged to a different currency, a hedged version of the benchmark (where available) will be used by the ACD for the performance comparison."",0.0,labelled\consorsbank_t_rowe_price_funds,11";;;;;;;;;;;
84,21,Base currency of the fund  GBP,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
85,22,INVESTMENT MANAGER T. Rowe Price International Ltd,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
86,23,Planning your Investment,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
87,24,Designed for  Investors who typically plan to invest for five years or more.,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
88,25,The fund may appeal to investors who:,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
89,26,Q are interested in investment growth,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
"90,27,""Q are looking to diversify their equity investments, in particular existing investments in developed markets"",0.0,labelled\consorsbank_t_rowe_price_funds,11";;;;;;;;;;;
"91,28,""Q understand and can accept the risks of the fund, including the risks of investing in frontier markets"",0.0,labelled\consorsbank_t_rowe_price_funds,11";;;;;;;;;;;
92,29,Main Risks,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
"93,30,""See """"Risk Descriptions"""" for more information."",0.0,labelled\consorsbank_t_rowe_price_funds,11";;;;;;;;;;;
94,31,Q  Currency,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
95,32,Q  Emerging markets,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
96,33,Q  Equities,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
97,34,Q  Frontier markets,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
98,35,Q  Geographic concentration,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
99,36,Q  Hedging,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
100,37,Q  Investment fund,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
101,38,Q  Management,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
102,39,Q  Market,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
103,40,Q  Operational,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
104,41,Q  Sector concentration,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
105,42,Q  Small/mid cap,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
106,43,Risk management method  Commitment.,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
107,44,Expected level of leverage  N/A.,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
108,45,Minimum transaction and balance amounts,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
109,46,Class ACD Fee,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
110,47,Operating and Administrative expenses limit Initial investment/balance Additional investment Redemption,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
"111,48,""C 1.10% Up to 0.17% GBP10,000 GBP500 GBP500"",0.0,labelled\consorsbank_t_rowe_price_funds,11";;;;;;;;;;;
112,49,T 0.00% Up to 0.17% GBP7.5 million - -,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
113,50,Z 0.00% 0.00% GBP20 million - -,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
114,51,This fund has not launched at the publication date of this prospectus.,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
115,52,Initial Offer Period: [TBC] 2022,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
116,53,T. Rowe Price Funds OEIC - Frontier Markets Equity Fund,0.0,labelled\consorsbank_t_rowe_price_funds,11;;;;;;;;;;;
117,0,INVEST WITH CONFIDENCE,0.0,labelled\consorsbank_t_rowe_price_funds,12;;;;;;;;;;;
118,1,13,0.0,labelled\consorsbank_t_rowe_price_funds,12;;;;;;;;;;;
119,2,Objective and Investment Policy,0.0,labelled\consorsbank_t_rowe_price_funds,12;;;;;;;;;;;
"120,3,""OBJECTIVE To increase the value of its shares, through growth in the value of its investments over the long term (a minimum of 5 years)."",0.0,labelled\consorsbank_t_rowe_price_funds,12";;;;;;;;;;;
"121,4,""PORTFOLIO SECURITIES The fund is actively managed and invests at least 80% of total assets in a portfolio of shares and related equity securities issued by companies that create or use innovative financial technologies in products, services and/or their business operations. The universe encompasses companies operating in categories, including, but not limited to, capital markets, e-commerce, embedded finance, enterprise software, financial IT services, information services, payment and processors and tech- enabled financials. The companies may be anywhere in the world, including emerging markets (up to 30% of the total assets of the fund)."",1.0,labelled\consorsbank_t_rowe_price_funds,12";;;;;;;;;;;
"122,5,""Types of securities the fund may invest in may include common shares, preferred shares, warrants (up to 5% of the total assets of the fund), American Depository Receipts (ADRs), Chinese Depositary Receipts (CDRs), European Depository Receipts (EDRs) and Global Depository Receipts (GDRs). Investments in China may include A and H shares. Investments in China A shares may be made through the Shanghai- Hong Kong Stock Connect or the Shenzhen-Hong Kong Stock Connect programs."",1.0,labelled\consorsbank_t_rowe_price_funds,12";;;;;;;;;;;
123,6,The fund may also invest up to 20% of its assets in debt and money market securities.,1.0,labelled\consorsbank_t_rowe_price_funds,12;;;;;;;;;;;
124,7,The fund's investment approach is to invest in securities that demonstrate attractive investment attributes and to apply the following screening steps:,0.0,labelled\consorsbank_t_rowe_price_funds,12;;;;;;;;;;;
125,8,Exclusionary screening,0.0,labelled\consorsbank_t_rowe_price_funds,12;;;;;;;;;;;
"126,9,""The investment manager screens potential investments by excluding companies whose business activities involve controversial weapons (cluster munitions, anti-personnel mines, incendiary, biological, chemical and nuclear weapons), tobacco production, coal production, assault- style weapons for civilian use, adult entertainment and gambling. The fund also excludes companies that do not meet the investment manager's conduct-based criteria, which typically means companies that have been involved in an extreme environmental, social, ethical or governance breach and the investment manager does not believe that they are taking adequate steps to remediate the issue. Further details of the Responsible Exclusion List Policy can be found on https://www.troweprice.com/content/dam/tpd/Articles/PDFs/ Responsible_Exclusion_List_Policy_UK.pdf"",1.0,labelled\consorsbank_t_rowe_price_funds,12";;;;;;;;;;;
"127,10,""Inclusionary screening  by investing at least 10% of the value of its portfolio in sustainable investments. The following three tests must be 1. met for an investment to be considered sustainable: The investment must be in an economic activity that contributes to an environmental or social (sustainable) objective as measured through revenues, use of proceeds, capex or opex";",1.0,labelled\consorsbank_t_rowe_price_funds,12
128,11,2. The investment does not cause significant harm to any other environmental or social objective; and,1.0,labelled\consorsbank_t_rowe_price_funds,12
129,12,3. The investee company exhibits good governance practices.,1.0,labelled\consorsbank_t_rowe_price_funds,12
130,13,DERIVATIVES AND TECHNIQUES The fund may use derivatives for hedging and efficient portfolio management. The use of derivatives is expected to be limited.,0.0,labelled\consorsbank_t_rowe_price_funds,12
131,14,At any time and for a length of time that the investment manager considers appropriate, the fund may hold up to (but not including) 50% of its assets in cash or other liquid assets. This might occur in circumstances of extremely adverse market conditions and/or upon receipt of significant subscriptions by the fund."",1.0,labelled\consorsbank_t_rowe_price_funds,12";;;;;;;;;;
132,15,INVESTMENT PROCESS The investment manager's approach is to:,0.0,labelled\consorsbank_t_rowe_price_funds,12;;;;;;;;;;;
"133,16,""Q Identify companies that enable, create or use innovative financial technologies in products, services and/or business operations."",0.0,labelled\consorsbank_t_rowe_price_funds,12";;;;;;;;;;;
134,17,Q Utilise a proprietary global research platform using fundamental analysis to select companies with sound fundamentals and growth prospects.,0.0,labelled\consorsbank_t_rowe_price_funds,12;;;;;;;;;;;
"135,18,""Q First apply a socially responsible screen and then assess environmental, social and governance (""""ESG"""") factors with particular focus on those considered most likely to have a material impact on the performance of the holdings or potential holdings in the funds' portfolio. These ESG factors, which are incorporated into the investment process alongside financials, valuation, macro- economics and other factors, are components of the investment decision. Consequently, ESG factors are not the sole driver of an investment decision but are instead one of several important inputs considered during investment analysis. Further information on the ESG investment policies can be found on www.troweprice.com/corporate/en/what-we-do/investing- approach/esg-investment-policy.html"",0.0,labelled\consorsbank_t_rowe_price_funds,12";;;;;;;;;;;
136,19,Q Investing at least 10% of the value of its portfolio in sustainable investments.,1.0,labelled\consorsbank_t_rowe_price_funds,12;;;;;;;;;;;
137,20,BENCHMARK Benchmark  MSCI All Country World Index Net.,0.0,labelled\consorsbank_t_rowe_price_funds,12;;;;;;;;;;;
"138,21,""Benchmark use  Investors may use the benchmark to compare the fund's performance. The benchmark has been selected as an appropriate broad-based benchmark, which is a common comparator for financial technology and innovation themed strategies."",0.0,labelled\consorsbank_t_rowe_price_funds,12";;;;;;;;;;;
"139,22,""The investment manager is not constrained by any country, sector and/ or individual security weightings relative to the benchmark and has complete freedom to invest in securities that do not form part of the benchmark."",0.0,labelled\consorsbank_t_rowe_price_funds,12";;;;;;;;;;;
"140,23,""When a share class is hedged to a different currency, a hedged version of the benchmark (where available) will be used by the ACD for the performance comparison."",0.0,labelled\consorsbank_t_rowe_price_funds,12";;;;;;;;;;;
"141,24,""IA Sector  Many UK funds are grouped into sectors by the Investment Association (the """"IA"""") (the trade body that represents UK investment managers), to help investors to compare funds with broadly similar characteristics. Investors may compare the fund against the performance of the Financial and Financial Innovation sector. This sector represents the average performance of certain funds that invest at least 80% of their assets in Financial and Financial Innovation shares. It can therefore serve as a method of comparing the fund's performance with other funds that have broadly similar characteristics. The fund is not constrained to or managed in line with this sector."",0.0,labelled\consorsbank_t_rowe_price_funds,12";;;;;;;;;;;
142,25,Base currency of the fund  GBP.,0.0,labelled\consorsbank_t_rowe_price_funds,12;;;;;;;;;;;
143,26,INVESTMENT MANAGER T. Rowe Price International Ltd,0.0,labelled\consorsbank_t_rowe_price_funds,12;;;;;;;;;;;
"144,27,""SUB-INVESTMENT MANAGER T. Rowe Price Associates, Inc."",0.0,labelled\consorsbank_t_rowe_price_funds,12";;;;;;;;;;;
145,28,Designed for  Investors who typically plan to invest for five years or more.,0.0,labelled\consorsbank_t_rowe_price_funds,12;;;;;;;;;;;
146,29,The fund may appeal to investors who:,0.0,labelled\consorsbank_t_rowe_price_funds,12;;;;;;;;;;;
147,30,Q are seeking the potential for capital growth through investment in financial and technology stocks,0.0,labelled\consorsbank_t_rowe_price_funds,12;;;;;;;;;;;
"148,31,""Q understand and can accept the risks of the fund, including the risks of investing in equities globally"",0.0,labelled\consorsbank_t_rowe_price_funds,12";;;;;;;;;;;
"149,32,""Q have concern related to investment in certain companies whose businesses are exposed to particular industries that do not align with their environment, social or ethical values."",0.0,labelled\consorsbank_t_rowe_price_funds,12";;;;;;;;;;;
150,33,T. Rowe Price Funds OEIC - Future of Finance Equity Fund,0.0,labelled\consorsbank_t_rowe_price_funds,12;;;;;;;;;;;
151,0,14,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
152,1,INVEST WITH CONFIDENCE,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
153,2,Main Risks,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
"154,3,""See """"Risk Descriptions"""" for more information."",0.0,labelled\consorsbank_t_rowe_price_funds,13";;;;;;;;;;;
155,4,Q  Country risk - China,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
156,5,Q  Currency,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
157,6,Q  Emerging markets,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
158,7,Q  ESG and RI Risk,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
159,8,Q  Equities,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
160,9,Q  Geographic concentration,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
161,10,Q  Hedging,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
162,11,Q  Investment fund,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
163,12,Q  Issuer concentration,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
164,13,Q  Management,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
165,14,Q  Market,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
166,15,Q  Operational,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
167,16,Q  Sector concentration,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
168,17,Q  Small/mid cap,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
169,18,Q  Style,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
170,19,Risk management method  Commitment.,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
171,20,Expected level of leverage  N/A.,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
172,21,Minimum transaction and balance amounts,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
173,22,Class ACD Fee,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
174,23,Operating and Administrative expenses limit Initial investment/balance Additional investment Redemption,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
"175,24,""C 0.775% Up to 0.17% GBP10,000 GBP500 GBP500"",0.0,labelled\consorsbank_t_rowe_price_funds,13";;;;;;;;;;;
"176,25,""C9 0.65% Up to 0.17% GBP10,000 GBP500 GBP500"",0.0,labelled\consorsbank_t_rowe_price_funds,13";;;;;;;;;;;
177,26,T 0.00% Up to 0.17% GBP7.5 million - -,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
178,27,Z 0.00% 0.00% GBP20 million - -,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
179,28,T. Rowe Price Funds OEIC - Future of Finance Equity Fund  - continued,0.0,labelled\consorsbank_t_rowe_price_funds,13;;;;;;;;;;;
180,0,INVEST WITH CONFIDENCE,0.0,labelled\consorsbank_t_rowe_price_funds,14;;;;;;;;;;;
181,1,15,0.0,labelled\consorsbank_t_rowe_price_funds,14;;;;;;;;;;;
182,2,Objective and Investment Policy,0.0,labelled\consorsbank_t_rowe_price_funds,14;;;;;;;;;;;
