,index,text,label,mandate,page_no
43,43,This might occur in circumstances of extremely adverse market conditions and/or upon receipt of significant subscriptions by the fund.,1,labelled\consorsbank_t_rowe_price_funds,11
44,44,"INVESTMENT PROCESS The investment manager's approach is to: Q Invest across the entire frontier investment universe, including countries outside the MSCI Frontier Markets Index.",False,labelled\consorsbank_t_rowe_price_funds,11
45,45,"Q Employ a rigorous, risk-aware approach to identify quality growing companies trading at attractive valuations.",False,labelled\consorsbank_t_rowe_price_funds,11
46,46,"Q Employ fundamental analysis with a focus on returns, balance sheet structure, management team and corporate governance.",False,labelled\consorsbank_t_rowe_price_funds,11
47,47,Q Apply a disciplined approach to valuation.,False,labelled\consorsbank_t_rowe_price_funds,11
48,48,Verify relative valuation appeal versus peers and history.,False,labelled\consorsbank_t_rowe_price_funds,11
49,49,Q Consider macroeconomic and political factors to temper bottom-up enthusiasm.,False,labelled\consorsbank_t_rowe_price_funds,11
50,50,"Q Assess environmental, social and governance (""ESG"") factors to identify those considered most likely to have a material impact on the performance of the holdings or potential holdings in the fund's portfolio.",False,labelled\consorsbank_t_rowe_price_funds,11
51,51,"These ESG factors, which are incorporated into the investment process alongside financials, valuation, macro- economics and other factors, are components of the investment decision.",False,labelled\consorsbank_t_rowe_price_funds,11
52,52,"Consequently, ESG factors are not the sole driver of an investment decision but are instead one of several important inputs considered during investment analysis.",False,labelled\consorsbank_t_rowe_price_funds,11
53,53,BENCHMARK Benchmark  MSCI Frontier Markets Index Net.,False,labelled\consorsbank_t_rowe_price_funds,11
54,54,Benchmark use  Investors may use the benchmark to compare the fund's performance.,False,labelled\consorsbank_t_rowe_price_funds,11
55,55,The benchmark has been selected because it is similar to the investment universe used by the investment manager and therefore acts as an appropriate comparator.,False,labelled\consorsbank_t_rowe_price_funds,11
56,56,"The investment manager is not constrained by any country, sector and/ or individual security weightings relative to the benchmark and has complete freedom to invest in securities that do not form part of the benchmark.",False,labelled\consorsbank_t_rowe_price_funds,11
57,57,"The fund uses the MSCI Frontier Emerging Markets Index and the MSCI AC World Index to help determine the countries in which investments will be made, but these indices are not used as a constraint on portfolio construction.",False,labelled\consorsbank_t_rowe_price_funds,11
58,58,"When a share class is hedged to a different currency, a hedged version of the benchmark (where available) will be used by the ACD for the performance comparison.",False,labelled\consorsbank_t_rowe_price_funds,11
59,59,Base currency of the fund  GBP INVESTMENT MANAGER T. Rowe Price International Ltd Planning your Investment Designed for  Investors who typically plan to invest for five years or more.,False,labelled\consorsbank_t_rowe_price_funds,11
60,60,"The fund may appeal to investors who: Q are interested in investment growth Q are looking to diversify their equity investments, in particular existing investments in developed markets Q understand and can accept the risks of the fund, including the risks of investing in frontier markets Main Risks See ""Risk Descriptions"" for more information.",False,labelled\consorsbank_t_rowe_price_funds,11
61,61,Q  Currency Q  Emerging markets Q  Equities Q  Frontier markets Q  Geographic concentration Q  Hedging Q  Investment fund Q  Management Q  Market Q  Operational Q  Sector concentration Q  Small/mid cap Risk management method  Commitment.,False,labelled\consorsbank_t_rowe_price_funds,11
62,62,Expected level of leverage  N/A.,False,labelled\consorsbank_t_rowe_price_funds,11
63,63,"Minimum transaction and balance amounts Class ACD Fee Operating and Administrative expenses limit Initial investment/balance Additional investment Redemption C 1.10% Up to 0.17% GBP10,000 GBP500 GBP500 T 0.00% Up to 0.17% GBP7.5 million - - Z 0.00% 0.00% GBP20 million - - This fund has not launched at the publication date of this prospectus.",False,labelled\consorsbank_t_rowe_price_funds,11
64,64,"Initial Offer Period: [TBC] 2022 T. Rowe Price Funds OEIC - Frontier Markets Equity Fund INVEST WITH CONFIDENCE 13 Objective and Investment Policy OBJECTIVE To increase the value of its shares, through growth in the value of its investments over the long term (a minimum of 5 years).",False,labelled\consorsbank_t_rowe_price_funds,11
65,65,"PORTFOLIO SECURITIES The fund is actively managed and invests at least 80% of total assets in a portfolio of shares and related equity securities issued by companies that create or use innovative financial technologies in products, services and/or their business operations.",1,labelled\consorsbank_t_rowe_price_funds,12
66,66,"The universe encompasses companies operating in categories, including, but not limited to, capital markets, e-commerce, embedded finance, enterprise software, financial IT services, information services, payment and processors and tech- enabled financials.",1,labelled\consorsbank_t_rowe_price_funds,12
67,67,"The companies may be anywhere in the world, including emerging markets (up to 30% of the total assets of the fund).",1,labelled\consorsbank_t_rowe_price_funds,12
68,68,"Types of securities the fund may invest in may include common shares, preferred shares, warrants (up to 5% of the total assets of the fund), American Depository Receipts (ADRs), Chinese Depositary Receipts (CDRs), European Depository Receipts (EDRs) and Global Depository Receipts (GDRs).",1,labelled\consorsbank_t_rowe_price_funds,12
69,69,Investments in China may include A and H shares.,1,labelled\consorsbank_t_rowe_price_funds,12
70,70,Investments in China A shares may be made through the Shanghai- Hong Kong Stock Connect or the Shenzhen-Hong Kong Stock Connect programs.,1,labelled\consorsbank_t_rowe_price_funds,12
71,71,The fund may also invest up to 20% of its assets in debt and money market securities.,1,labelled\consorsbank_t_rowe_price_funds,12
72,72,"The fund's investment approach is to invest in securities that demonstrate attractive investment attributes and to apply the following screening steps: Exclusionary screening The investment manager screens potential investments by excluding companies whose business activities involve controversial weapons (cluster munitions, anti-personnel mines, incendiary, biological, chemical and nuclear weapons), tobacco production, coal production, assault- style weapons for civilian use, adult entertainment and gambling.",False,labelled\consorsbank_t_rowe_price_funds,12
73,73,"The fund also excludes companies that do not meet the investment manager's conduct-based criteria, which typically means companies that have been involved in an extreme environmental, social, ethical or governance breach and the investment manager does not believe that they are taking adequate steps to remediate the issue.",1,labelled\consorsbank_t_rowe_price_funds,12
74,74,Further details of the Responsible Exclusion List Policy can be found on https://www.troweprice.com/content/dam/tpd/Articles/PDFs/ Responsible_Exclusion_List_Policy_UK.pdf Inclusionary screening  by investing at least 10% of the value of its portfolio in sustainable investments.,1,labelled\consorsbank_t_rowe_price_funds,12
75,75,"The following three tests must be 1. met for an investment to be considered sustainable: The investment must be in an economic activity that contributes to an environmental or social (sustainable) objective as measured through revenues, use of proceeds, capex or opex; 2.",1,labelled\consorsbank_t_rowe_price_funds,12
76,76,The investment does not cause significant harm to any other environmental or social objective; and 3.,1,labelled\consorsbank_t_rowe_price_funds,12
77,77,The investee company exhibits good governance practices.,1,labelled\consorsbank_t_rowe_price_funds,12
78,78,DERIVATIVES AND TECHNIQUES The fund may use derivatives for hedging and efficient portfolio management.,False,labelled\consorsbank_t_rowe_price_funds,12
79,79,The use of derivatives is expected to be limited.,False,labelled\consorsbank_t_rowe_price_funds,12
80,80,"At any time and for a length of time that the investment manager considers appropriate, the fund may hold up to (but not including) 50% of its assets in cash or other liquid assets.",1,labelled\consorsbank_t_rowe_price_funds,12
81,81,This might occur in circumstances of extremely adverse market conditions and/or upon receipt of significant subscriptions by the fund.,1,labelled\consorsbank_t_rowe_price_funds,12
82,82,"INVESTMENT PROCESS The investment manager's approach is to: Q Identify companies that enable, create or use innovative financial technologies in products, services and/or business operations.",False,labelled\consorsbank_t_rowe_price_funds,12
83,83,Q Utilise a proprietary global research platform using fundamental analysis to select companies with sound fundamentals and growth prospects.,False,labelled\consorsbank_t_rowe_price_funds,12
84,84,"Q First apply a socially responsible screen and then assess environmental, social and governance (""ESG"") factors with particular focus on those considered most likely to have a material impact on the performance of the holdings or potential holdings in the funds' portfolio.",False,labelled\consorsbank_t_rowe_price_funds,12
85,85,"These ESG factors, which are incorporated into the investment process alongside financials, valuation, macro- economics and other factors, are components of the investment decision.",False,labelled\consorsbank_t_rowe_price_funds,12
86,86,"Consequently, ESG factors are not the sole driver of an investment decision but are instead one of several important inputs considered during investment analysis.",False,labelled\consorsbank_t_rowe_price_funds,12
87,87,Further information on the ESG investment policies can be found on www.troweprice.com/corporate/en/what-we-do/investing- approach/esg-investment-policy.html Q Investing at least 10% of the value of its portfolio in sustainable investments.,False,labelled\consorsbank_t_rowe_price_funds,12
88,88,BENCHMARK Benchmark  MSCI All Country World Index Net.,False,labelled\consorsbank_t_rowe_price_funds,12
89,89,Benchmark use  Investors may use the benchmark to compare the fund's performance.,False,labelled\consorsbank_t_rowe_price_funds,12
90,90,"The benchmark has been selected as an appropriate broad-based benchmark, which is a common comparator for financial technology and innovation themed strategies.",False,labelled\consorsbank_t_rowe_price_funds,12
91,91,"The investment manager is not constrained by any country, sector and/ or individual security weightings relative to the benchmark and has complete freedom to invest in securities that do not form part of the benchmark.",False,labelled\consorsbank_t_rowe_price_funds,12
92,92,"When a share class is hedged to a different currency, a hedged version of the benchmark (where available) will be used by the ACD for the performance comparison.",False,labelled\consorsbank_t_rowe_price_funds,12
93,93,"IA Sector  Many UK funds are grouped into sectors by the Investment Association (the ""IA"") (the trade body that represents UK investment managers), to help investors to compare funds with broadly similar characteristics.",False,labelled\consorsbank_t_rowe_price_funds,12
94,94,Investors may compare the fund against the performance of the Financial and Financial Innovation sector.,False,labelled\consorsbank_t_rowe_price_funds,12
95,95,This sector represents the average performance of certain funds that invest at least 80% of their assets in Financial and Financial Innovation shares.,False,labelled\consorsbank_t_rowe_price_funds,12
96,96,It can therefore serve as a method of comparing the fund's performance with other funds that have broadly similar characteristics.,False,labelled\consorsbank_t_rowe_price_funds,12
97,97,The fund is not constrained to or managed in line with this sector.,False,labelled\consorsbank_t_rowe_price_funds,12
98,98,Base currency of the fund  GBP.,False,labelled\consorsbank_t_rowe_price_funds,12
99,99,"INVESTMENT MANAGER T. Rowe Price International Ltd SUB-INVESTMENT MANAGER T. Rowe Price Associates, Inc.",False,labelled\consorsbank_t_rowe_price_funds,12
100,100,Designed for  Investors who typically plan to invest for five years or more.,False,labelled\consorsbank_t_rowe_price_funds,12
101,101,"The fund may appeal to investors who: Q are seeking the potential for capital growth through investment in financial and technology stocks Q understand and can accept the risks of the fund, including the risks of investing in equities globally Q have concern related to investment in certain companies whose businesses are exposed to particular industries that do not align with their environment, social or ethical values.",False,labelled\consorsbank_t_rowe_price_funds,12
102,102,"T. Rowe Price Funds OEIC - Future of Finance Equity Fund 14 INVEST WITH CONFIDENCE Main Risks See ""Risk Descriptions"" for more information.",False,labelled\consorsbank_t_rowe_price_funds,12
103,103,Q  Country risk - China Q  Currency Q  Emerging markets Q  ESG and RI Risk Q  Equities Q  Geographic concentration Q  Hedging Q  Investment fund Q  Issuer concentration Q  Management Q  Market Q  Operational Q  Sector concentration Q  Small/mid cap Q  Style Risk management method  Commitment.,False,labelled\consorsbank_t_rowe_price_funds,13
104,104,Expected level of leverage  N/A.,False,labelled\consorsbank_t_rowe_price_funds,13
105,105,"Minimum transaction and balance amounts Class ACD Fee Operating and Administrative expenses limit Initial investment/balance Additional investment Redemption C 0.775% Up to 0.17% GBP10,000 GBP500 GBP500 C9 0.65% Up to 0.17% GBP10,000 GBP500 GBP500 T 0.00% Up to 0.17% GBP7.5 million - - Z 0.00% 0.00% GBP20 million - - T. Rowe Price Funds OEIC - Future of Finance Equity Fund  - continued INVEST WITH CONFIDENCE 15 Objective and Investment Policy OBJECTIVE To increase the value of its shares through growth in the value of its investments.",False,labelled\consorsbank_t_rowe_price_funds,13
106,106,"PORTFOLIO SECURITIES The fund is actively managed and invests mainly in a diversified portfolio of shares which, in the opinion of the investment manager, have the potential for above average and sustainable rates of earnings growth.",False,labelled\consorsbank_t_rowe_price_funds,14
107,107,"The companies may be anywhere in the world, including emerging markets.",False,labelled\consorsbank_t_rowe_price_funds,14
108,108,"Specifically, the fund invests at least 70% of total assets in shares and related securities of listed companies.",1,labelled\consorsbank_t_rowe_price_funds,14
109,109,"Types of securities may include common stocks, preferred stocks, warrants, American Depository Receipts (ADRs), European Depository Receipts (EDRs) and Global Depository Receipts (GDRs).",1,labelled\consorsbank_t_rowe_price_funds,14
110,110,The fund does not invest more than 30% of its assets in debt and money market securities.,1,labelled\consorsbank_t_rowe_price_funds,14
111,111,DERIVATIVES AND TECHNIQUES The fund may use derivatives for hedging and efficient portfolio management.,False,labelled\consorsbank_t_rowe_price_funds,14
112,112,"At any time and for a length of time that the investment manager considers appropriate, the fund may hold up to (but not including) 50% of its assets in cash or other liquid assets.",1,labelled\consorsbank_t_rowe_price_funds,14
113,113,This might occur in circumstances of extremely adverse market conditions and/or upon receipt of significant subscriptions by the fund.,1,labelled\consorsbank_t_rowe_price_funds,14
114,114,"INVESTMENT PROCESS The investment manager's approach is to: Q Identify ""best ideas"" by assessing companies in a global sector context, using a bottom-up approach to create a focused portfolio of typically 60-80 holdings.",False,labelled\consorsbank_t_rowe_price_funds,14
115,115,"Q Utilise a proprietary global research platform using fundamental analysis to identify companies with superior and sustainable growth prospects, and improving fundamentals.",False,labelled\consorsbank_t_rowe_price_funds,14
116,116,Q Integrate macroeconomic and local market factors in stock selection decisions.,False,labelled\consorsbank_t_rowe_price_funds,14
117,117,Q Measure valuation appeal against the local market and broad sector opportunity set.,False,labelled\consorsbank_t_rowe_price_funds,14
118,118,"Q Invest in a broad range of stocks across all capitalisations, incorporating developed and emerging markets.",False,labelled\consorsbank_t_rowe_price_funds,14
119,119,"Q Assess environmental, social and governance (""ESG"") factors to identify those considered most likely to have a material impact on the performance of the holdings or potential holdings in the fund's portfolio.",False,labelled\consorsbank_t_rowe_price_funds,14
120,120,"These ESG factors, which are incorporated into the investment process alongside financials, valuation, macro- economics and other factors, are components of the investment decision.",False,labelled\consorsbank_t_rowe_price_funds,14
121,121,"Consequently, ESG factors are not the sole driver of an investment decision but are instead one of several important inputs considered during investment analysis.",False,labelled\consorsbank_t_rowe_price_funds,14
122,122,BENCHMARK Primary Benchmark  MSCI All Country World Index Net.,False,labelled\consorsbank_t_rowe_price_funds,14
123,123,Secondary Benchmark  MSCI All Country World Growth Index Net.,False,labelled\consorsbank_t_rowe_price_funds,14
124,124,Benchmark use  Investors may use these benchmarks to compare the fund's performance.,False,labelled\consorsbank_t_rowe_price_funds,14
125,125,The primary benchmark has been selected because it is similar to the investment universe used by the investment manager and therefore acts as an appropriate comparator overall.,False,labelled\consorsbank_t_rowe_price_funds,14
126,126,The secondary benchmark has been selected to reflect the growth style of the fund and investors may use it as additional information to compare the fund's performance.,False,labelled\consorsbank_t_rowe_price_funds,14
127,127,"The investment manager is not constrained by any country, sector and/ or individual security weightings relative to the benchmarks and has complete freedom to invest in securities that do not form part of the benchmarks.",False,labelled\consorsbank_t_rowe_price_funds,14
128,128,"When a share class is hedged to a different currency, a hedged version of the benchmark (where available) will be used by the ACD for the performance comparison.",False,labelled\consorsbank_t_rowe_price_funds,14
129,129,"IA Sector  Many UK funds are grouped into sectors by the Investment Association (the ""IA"") (the trade body that represents UK investment managers), to help investors to compare funds with broadly similar characteristics.",False,labelled\consorsbank_t_rowe_price_funds,14
130,130,Investors may compare the fund against the performance of the Global sector.,False,labelled\consorsbank_t_rowe_price_funds,14
131,131,This sector represents the average performance of certain funds that invest at least 80% of their assets globally in shares.,False,labelled\consorsbank_t_rowe_price_funds,14
132,132,It can therefore serve as a method of comparing the fund's performance with other funds that have broadly similar characteristics.,False,labelled\consorsbank_t_rowe_price_funds,14
133,133,The fund is not constrained to or managed in line with this sector.,False,labelled\consorsbank_t_rowe_price_funds,14
134,134,"Base currency of the fund  GBP INVESTMENT MANAGER T. Rowe Price International Ltd SUB-INVESTMENT MANAGER T. Rowe Price Associates, Inc.",False,labelled\consorsbank_t_rowe_price_funds,14
135,135,Designed for  Investors who typically plan to invest for five years or more.,False,labelled\consorsbank_t_rowe_price_funds,14
136,136,"The fund may appeal to investors who: Q are interested in investment growth Q are looking to diversify their equity investments Q understand and can accept the risks of the fund, including the risks of investing in equities globally Main Risks See ""Risk Descriptions"" for more information.",False,labelled\consorsbank_t_rowe_price_funds,14
137,137,Q  Country risk - China Q  Country risk - Russia and Ukraine Q  Currency Q  Emerging markets Q  Equities Q  Geographic concentration Q  Hedging Q  Investment fund Q  Management Q  Market Q  Operational Q  Small/mid cap Q  Style Risk management method  Commitment.,False,labelled\consorsbank_t_rowe_price_funds,14
138,138,Expected level of leverage  N/A.,False,labelled\consorsbank_t_rowe_price_funds,14
139,139,"T. Rowe Price Funds OEIC - Global Focused Growth Equity Fund 16 INVEST WITH CONFIDENCE Minimum transaction and balance amounts Class ACD Fee Operating and Administrative expenses limit Initial investment/balance Additional investment Redemption C 0.75% Up to 0.17% GBP10,000 GBP500 GBP500 C9 0.50% Up to 0.17% GBP10,000 GBP500 GBP500 T 0.00% Up to 0.17% GBP7.5 million - - Z 0.00% 0.00% GBP20 million - - T. Rowe Price Funds OEIC - Global Focused Growth Equity Fund  - continued INVEST WITH CONFIDENCE 17 Objective and Investment Policy OBJECTIVE To have a positive impact on the environment and society whilst at the same time seeking to increase the value of its shares through growth in the value of its investments over the long term (a minimum of 5 years).",False,labelled\consorsbank_t_rowe_price_funds,14
140,140,"PORTFOLIO SECURITIES The fund is actively managed and invests in a portfolio of shares of companies which may be anywhere in the world, including emerging markets (up to 35% of the total assets of the fund).",1,labelled\consorsbank_t_rowe_price_funds,16
141,141,"The investment manager will focus on companies that it believes have the potential to create positive social or environmental impact through their products or services, and that appear to offer superior growth prospects and investment characteristics, as described in the Investment Strategy and Investment Approach sections below.",1,labelled\consorsbank_t_rowe_price_funds,16
142,142,The fund invests at least 80% of the total assets in shares and related securities of listed companies.,1,labelled\consorsbank_t_rowe_price_funds,16
143,143,"Types of securities may include common shares, preferred shares, American Depository Receipts (ADRs), European Depository Receipts (EDRs) and Global Depository Receipts (GDRs).",1,labelled\consorsbank_t_rowe_price_funds,16
144,144,Investments in China may include A and H shares.,1,labelled\consorsbank_t_rowe_price_funds,16
145,145,Investments in China A shares may be made through the Shanghai-Hong Kong Stock Connect or the Shenzhen-Hong Kong Stock Connect programs.,1,labelled\consorsbank_t_rowe_price_funds,16
146,146,The fund may also invest up to 20% of its assets in debt and money market securities.,1,labelled\consorsbank_t_rowe_price_funds,16
147,147,Any investment in debt and money market securities aims to be consistent with the fund's objective.,1,labelled\consorsbank_t_rowe_price_funds,16
148,148,DERIVATIVES AND TECHNIQUES The fund may use derivatives for hedging and efficient portfolio management.,False,labelled\consorsbank_t_rowe_price_funds,16
149,149,The use of derivatives is expected to be limited.,False,labelled\consorsbank_t_rowe_price_funds,16
150,150,Any use of derivatives aims to be consistent with the fund's objective.,False,labelled\consorsbank_t_rowe_price_funds,16
151,151,INVESTMENT STRATEGY The fund's investment strategy is built on a belief that companies actively aiming to solve the challenges faced by our planet and our society are well placed to generate positive real-world impact.,False,labelled\consorsbank_t_rowe_price_funds,16
152,152,"In addition, where the provision of a service or product creating a positive impact is scarce and differentiated, the investment manager believes this creates the potential for a company to deliver superior economic returns, driven by the durability and persistence of earnings and cashflow growth.",False,labelled\consorsbank_t_rowe_price_funds,16
153,153,"While many of the world's challenges are urgent and require action in the present, successful impact investing is inherently linked to the duration and persistence of positive change.",False,labelled\consorsbank_t_rowe_price_funds,16
154,154,"Impact investing requires conscious action, skilled execution and the commitment of engagement with companies.",False,labelled\consorsbank_t_rowe_price_funds,16
155,155,These principles are all embedded in our investment approach.,False,labelled\consorsbank_t_rowe_price_funds,16
156,156,"INVESTMENT APPROACH The investment approach of the fund inherently looks to identify companies that align the interests of their shareholders, wider society, and the environment.",False,labelled\consorsbank_t_rowe_price_funds,16
157,157,Positive impact on the environment and society is targeted by aligning the fund's investments with companies that are working to address the world's major social and environmental challenges.,False,labelled\consorsbank_t_rowe_price_funds,16
158,158,"Specifically, the fund seeks to invest in companies' that undertake business activities which address these pressure points, creating positive impact as a result.",False,labelled\consorsbank_t_rowe_price_funds,16
159,159,Each company selected for inclusion in the fund's portfolio has current or future business activities that are expected to generate a material and measurable positive impact under one of the three impact pillars listed below: climate and resource impact; social equity and quality of life; and sustainable innovation and productivity.,False,labelled\consorsbank_t_rowe_price_funds,16
160,160,All the security selection decisions taken by the investment manager begin with a multi-layered process to identify companies which have positive impact potential.,False,labelled\consorsbank_t_rowe_price_funds,16
161,161,"This analysis is complemented with the proactive and systematic integration of a wider range of ESG considerations, before the investment manager identifies the fundamental investment case for a stock, which must lead to an expectation of positive financial returns.",False,labelled\consorsbank_t_rowe_price_funds,16
162,162,The investment manager has built the capability in fundamental and responsible investment.,False,labelled\consorsbank_t_rowe_price_funds,16
163,163,"The investment manager collaborates with the dedicated ESG specialists and fundamental analysts in order to produce the rounded view of companies that is essential as the fund purses positive impact, in tandem with growth in the value of its investments.",False,labelled\consorsbank_t_rowe_price_funds,16
